data_entrada;especie;serie;numero;data_documento;codigo_emitente;uf_orig;valor_contabil;codificacao_contabil;codificacao_fiscal;icms-ipi;cod;base_calculo;aliq;imposto_creditado;obs;pagina;cnjp;data_ini;data_fin
01/12/2008;NF;1;000003;01/12/2008;301706;RS;19322,82;2501;2501;ICMS;3;19322,82;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/12/2008;31/12/2008
01/12/2008;NF;;000003;;;;;;;IPI;3;19322,82;;0,0;;<Page:1>;86.547.619/0108-75;01/12/2008;31/12/2008
01/12/2008;NF;1;000004;01/12/2008;301706;RS;40417,92;2501;2501;ICMS;3;40417,92;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/12/2008;31/12/2008
01/12/2008;NF;;000004;;;;;;;IPI;3;40417,92;;0,0;;<Page:1>;86.547.619/0108-75;01/12/2008;31/12/2008
01/12/2008;CT;U;000060;01/12/2008;310131;SC;2119,16;1353;1353;ICMS;1;2119,16;17,00;360,2;;<Page:1>;86.547.619/0108-75;01/12/2008;31/12/2008
01/12/2008;CT;U;000067;01/12/2008;310131;SC;2085,36;1353;1353;ICMS;1;2085,36;17,00;354,5;;<Page:1>;86.547.619/0108-75;01/12/2008;31/12/2008
01/12/2008;CT;U;000338;01/12/2008;267193;SC;1820,96;1353;1353;ICMS;1;1820,96;17,00;309,5;;<Page:1>;86.547.619/0108-75;01/12/2008;31/12/2008
01/12/2008;NF;1;000880;01/12/2008;5208;EX;268282,96;3503;3503;ICMS;2;268282,96;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/12/2008;31/12/2008
01/12/2008;NF;;000880;;;;;;;IPI;3;268282,96;;0,0;;<Page:1>;86.547.619/0108-75;01/12/2008;31/12/2008
01/12/2008;NF;1;000899;01/12/2008;5208;EX;142661,09;3503;3503;ICMS;2;142661,09;0,00;0,0;;<Page:1>;86.547.619/0108-75;01/12/2008;31/12/2008
01/12/2008;NF;;000899;;;;;;;IPI;3;142661,09;;0,0;;<Page:1>;86.547.619/0108-75;01/12/2008;31/12/2008
01/12/2008;NF;1;000969;01/12/2008;5199;EX;68152,51;3503;3503;ICMS;2;68152,51;0,00;0,0;Devolução da NF:;<Page:1>;86.547.619/0108-75;01/12/2008;31/12/2008
