especie;serie;numero;dia;uf;valor_contabil;codificacao_contabil;codificacao_fiscal;icms-ipi;base_calculo;aliq;imposto_debitado;nao-tributada;outras;obs;pagina;cnjp;data_ini;data_fin
NF;1;015751;01;EX;36881,35;7501;7501;ICMS;0,00;0,00;0,00;36881,35;0,00;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;;015751;;;;;;IPI;0,00;;0,00;0,00;36881,35;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;1;015752;01;EX;54575,00;7501;7501;ICMS;0,00;0,00;0,00;54575,00;0,00;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;;015752;;;;;;IPI;0,00;;0,00;0,00;54575,00;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;1;015753;01;EX;50422,21;7501;7501;ICMS;0,00;0,00;0,00;50422,21;0,00;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;;015753;;;;;;IPI;0,00;;0,00;0,00;50422,21;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;1;015754;01;EX;136219,20;7501;7501;ICMS;0,00;0,00;0,00;136219,20;0,00;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;;015754;;;;;;IPI;0,00;;0,00;0,00;136219,20;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;1;015755;01;EX;131381,45;7501;7501;ICMS;0,00;0,00;0,00;131381,45;0,00;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;;015755;;;;;;IPI;0,00;;0,00;0,00;130740,52;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;1;015756;01;EX;166423,84;7501;7501;ICMS;0,00;0,00;0,00;166423,84;0,00;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;;015756;;;;;;IPI;0,00;;0,00;0,00;166423,84;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;1;015757;01;EX;85660,23;7501;7501;ICMS;0,00;0,00;0,00;85660,23;0,00;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;;015757;;;;;;IPI;0,00;;0,00;0,00;85660,23;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;1;015758;01;EX;85403,46;7501;7501;ICMS;0,00;0,00;0,00;85403,46;0,00;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;;015758;;;;;;IPI;0,00;;0,00;0,00;85403,46;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;1;015759;01;EX;82659,14;7501;7501;ICMS;0,00;0,00;0,00;82659,14;0,00;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;;015759;;;;;;IPI;0,00;;0,00;0,00;82659,14;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;1;015760;01;EX;82659,14;7501;7501;ICMS;0,00;0,00;0,00;82659,14;0,00;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;;015760;;;;;;IPI;0,00;;0,00;0,00;82659,14;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;1;015761;01;EX;85026,86;7501;7501;ICMS;0,00;0,00;0,00;85026,86;0,00;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;;015761;;;;;;IPI;0,00;;0,00;0,00;85026,86;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;1;015762;01;EX;85026,86;7501;7501;ICMS;0,00;0,00;0,00;85026,86;0,00;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;;015762;;;;;;IPI;0,00;;0,00;0,00;85026,86;;1;01.838.723/0169-88;01/05/2009;31/05/2009
NF;;;To;al;1082338,74;;;ICMS;0,00;;0,00;1082338,74;0,00;;1;01.838.723/0169-88;01/05/2009;31/05/2009
